Gép;Pozíció;Cikkszám;Model;Msd;Msd szint;Idõ
3;105;CH_CPICS03339A;SPS;Igen;3;168 óra (7nap)
3;107;CH_CPIND01958A;SPS;Nem;Nincs;-
3;109;CH_CPICS03280A;SPS;Igen;3;168 óra (7nap)
3;111;CH_CPICS02792A;SPS;Nem;Nincs;-
3;115;CH_CPICS03143A;SPS;Igen;3;168 óra (7nap)
3;201;CH_CPCAP10854A;SPS;Nem;Nincs;-
3;202;CH_CPCAP10856A;SPS;Nem;Nincs;-
3;203;CH_CPICS03266A;SPS;Igen;2;1 év
3;205;CH_CPICS03289A;SPS;Igen;2;1 év
3;207;CH_CPIND00345A;SPS;Nem;Nincs;-
3;208;CH_CPIND01847A;SPS;Nem;Nincs;-
3;209;CH_CPIND01918A;SPS;Nem;Nincs;-
3;210;CH_CPPRO00135A;SPS;Nem;Nincs;-
3;211;CH_CPRES15495A;SPS;Nem;Nincs;-
3;212;CH_CPRES05436A;SPS;Nem;Nincs;-
3;213;CH_CPTRT00654A;SPS;Nem;Nincs;-
3;215;CH_CPRES12202A;SPS;Nem;Nincs;-
3;216;CH_CPRES15811A;SPS;Nem;Nincs;-
3;217;CH_CPRES15821A;SPS;Nem;Nincs;-
3;218;CH_CPRES15979A;SPS;Nem;Nincs;-
3;219;CH_CPRES16027A;SPS;Nem;Nincs;-
3;220;CH_CPRES16153A;SPS;Nem;Nincs;-
3;221;CH_CPCAP02853A;SPS;Nem;Nincs;-
3;222;CH_CPCAP03591A;SPS;Nem;Nincs;-
3;223;CH_CPCAP03777A;SPS;Nem;Nincs;-
3;224;CH_CPCAP03781A;SPS;Nem;Nincs;-
3;225;CH_CPCAP10478A;SPS;Nem;Nincs;-
3;226;CH_CPCAP10487A;SPS;Nem;Nincs;-
3;227;CH_CPCAP10489A;SPS;Nem;Nincs;-
3;228;CH_CPCAP10563A;SPS;Nem;Nincs;-
3;229;CH_CPDIO00506A;SPS;Nem;Nincs;-
3;230;CH_CPFER00017A;SPS;Nem;Nincs;-
3;231;CH_CPDIO00575A;SPS;Nem;Nincs;-
3;233;CH_CPICS03240A;SPS;Nem;Nincs;-
3;234;CH_CPCAP02862A;SPS;Nem;Nincs;-
3;235;CH_CPCAP04057A;SPS;Nem;Nincs;-
3;236;CH_CPCAP04061A;SPS;Nem;Nincs;-
3;237;CH_CPCAP10845A;SPS;Nem;Nincs;-
3;238;CH_CPCAP10849A;SPS;Nem;Nincs;-
3;501;CH_CPICS03304A;SPS;Igen;3;168 óra (7nap)
4;101;CH_CPRES05767A;SPS;Nem;Nincs;-
4;103;CH_CPICS03440A;SPS;Igen;3;168 óra (7nap)
4;105;CH_CPICS02953A;SPS;Nem;Nincs;-
4;107;CH_CPICS03036A;SPS;Igen;2;1 év
4;109;CH_CPICS02990A;SPS;Igen;3;168 óra (7nap)
4;111;CH_CPIND00347A;SPS;Nem;Nincs;-
4;113;CH_CPICS03324A;SPS;Igen;2;1 év
4;115;CH_CPIND01499A;SPS;Nem;Nincs;-
4;117;CH_CPIND01520A;SPS;Nem;Nincs;-
4;119;CH_CPDIO00398A;SPS;Nem;Nincs;-
4;202;CH_CPCAP02201A;SPS;Nem;Nincs;-
4;207;CH_CPCON01591A;SPS;Nem;Nincs;-
4;209;CH_CPICS01036A;SPS;Nem;Nincs;-
4;211;CH_CPIND01827A;SPS;Nem;Nincs;-
4;213;CH_CPIND01622A;SPS;Nem;Nincs;-
4;215;CH_CPICS02794A;SPS;Igen;3;168 óra (7nap)
4;219;CH_CPCAP04171A;SPS;Nem;Nincs;-
4;221;CH_CPCAP04174A;SPS;Nem;Nincs;-
4;229;CH_CPCON01888A;SPS;Nem;Nincs;-
4;235;CH_CPICS03037A;SPS;Igen;3;168 óra (7nap)
4;239;CH_CPCAP04177A;SPS;Nem;Nincs;-
4;243;CH_CPCON02376A;SPS;Nem;Nincs;-
4;249;CH_CPSHI00099A;SPS;Nem;Nincs;-
4;253;CH_CPSHI00105A;SPS;Nem;Nincs;-
4;501;CH_CPICS03315A;SPS;Igen;3;168 óra (7nap)
4;502;CH_CPCON02319A;SPS;Nem;Nincs;-
4;503;CH_CPCON02250A;SPS;Nem;Nincs;-
1;109;CH_CPDIO00576A;Chrony IVI;Nem;Nincs;-
1;110;CH_CPXTA00131A;Chrony IVI;Nem;Nincs;-
1;111;CH_CPTRT00317A;Chrony IVI;Nem;Nincs;-
1;113;CH_CPCAP04059A;Chrony IVI;Nem;Nincs;-
1;114;CH_CPCAP04061A;Chrony IVI;Nem;Nincs;-
1;115;CH_CPCAP10014A;Chrony IVI;Nem;Nincs;-
